title|member|summary|year|age|information|genre|image|ott
내 뒤에 테리우스|소지섭, 정인선, 손호준, 임세미 外|사라진 전설의 블랙 요원과 운명처럼 첩보 전쟁에 뛰어든 앞집 여자의 수상쩍은 환상의 첩보 콜라보|2018|15|32부작|ACTION, CRIME, SPY, ROMANCE, COMEDY|behindmeterrius.png|WAVVE, WATCHA
미스터 션샤인|이병헌, 김태리, 유연석, 변요한, 김민정 外|신미양요(1871년) 때 군함에 승선해 미국에 떨어진 한 소년이 미국 군인 신분으로 자신을 버린 조국인 조선으로 돌아와 주둔하며 벌어지는 일을 그린 드라마|2018|15|24부작|PERIOD, ROMANCE, REVENGE, MELO, DRAMA|mrsunshine.png|NETFLIX, TVING
내 아이디는 강남미인|임수향, 차은우, 조우리, 곽동연 外|어릴 적부터 '못생김'으로 놀림을 받았고, 그래서 성형수술로 새 삶을 얻을 줄 알았던 여자 '미래'가 대학 입학 후 꿈꿔왔던 것과는 다른 캠퍼스 라이프를 겪게 되면서 진짜 아름다움을 찾아가는 예측불허 내적 성장 드라마|2018|15|16부작|ROMANCE, COMEDY, CAMPUS|gangnambueaty.png|NETFLIX, TVING, DISNEYPLUS
김비서가 왜 그럴까|박서준, 박민영, 이태환 外|재력, 얼굴, 수완까지 모든 것을 다 갖췄지만 자기애로 똘똘 뭉친 나르시시스트 부회장과 그를 완벽하게 보좌해온 비서의 퇴사밀당 로맨스|2018|15|16부작|OFFICE, ROMANCE, COMEDY|whyshedoing.png|NETFLIX, TVING, DISNEYPLUS
위대한 유혹자|우도환, 박수영, 문가영, 김민재, 전미선, 신성우, 김서형 外|청춘남녀가 인생의 전부를 바치는 것인 줄 모르고 뛰어든 위험한 사랑 게임과 이를 시작으로 펼쳐지는 위태롭고 아름다운 스무 살 유혹 로맨스|2018|15|32부작|MELO, REVENGE, DRAMA|thegreatseducer.png|WAVVE, WATCHA
아는 와이프|지성, 한지민, 장승조, 강한나 外|한 번의 선택으로 달라진 현재를 살게 된 운명적인 러브스토리를 그린 드라마|2018|15|16부작|MELO, ROMANCE, FANTASY|familiarwife.png|TVING
서른이지만 열일곱입니다|신혜선, 양세종, 안효섭 外|열일곱에 코마에 빠져 서른이 돼 깨어난 '멘탈 피지컬 부조화女'와 세상과 단절하고 살아온 '차단男'. 이들의 서른이지만 열일곱 같은 애틋하면서도 코믹한 로코|2018|15|32부작|ROMANCE, COMEDY, HUMAN, GROWTH|3017.png|WAVVE, WATCHA
호텔 델루나|아이유, 여진구 外|엘리트 호텔리어가 운명적인 사건으로 호텔 델루나의 지배인을 맡게 되면서 달처럼 고고하고 아름답지만 괴팍한 사장과 함께 델루나를 운영하며 생기는 특별한 이야기|2019|15|16부작|FANTASY, ROMANCE, COMEDY, HORROR|hoteldelluna.png|NETFLIX, TVING, DISNEYPLUS
타인은 지옥이다|임시완, 이동욱 外|상경한 청년이 서울의 낯선 고시원 생활 속에서 타인이 만들어낸 지옥을 경험하는 미스터리|2019|19|10부작|HORROR, THRILLER, NOIR, CRIME, MYSTERY|strangersfromhell.png|TVING, DISNEYPLUS
멜로가 체질|천우희, 전여빈, 한지은, 안재홍, 공명 外|서른 살 여자 친구들의 고민, 연애, 일상을 그린 코믹 드라마|2019|15|16부작|ROMANCE, COMEDY, HEALING|bemelodrmatic.png|NETFLIX, TVING, DISNEYPLUS
