title|member|summary|year|age|information|genre|image|name(OTT)
유미의 세포들 시즌2|김고은, 박진영, 안보현 外|세포들과 함께 먹고 사랑하고 성장하는 평범한 유미의 이야기를 그린 세포 자극 공감 로맨스|2022|15|14부작|DAILY, ROMANCE|yumicell2.png|TVING
이상한 변호사 우영우|박은빈, 강태오, 강기영, 전배수, 백지원, 진경, 주현영, 하윤경, 주종혁 外|천재적인 두뇌와 자폐스펙트럼을 동시에 가진 신입 변호사 우영우(박은빈 분)의 대형 로펌 생존기|2022|15|16부작|COURT, HUMAN, OFFICE, COMEDY, GROWTH, DRAMA|wyw.png|NETFLIX
작은 아씨들|김고은, 남지현, 박지후, 위하준, 엄지원, 엄기준 外|가난하지만 우애 있게 자란 세 자매가 대한민국에서 제일 부유하고 유력한 가문에 각자의 방식으로 맞서는 이야기|2022|15|12부작|CRIME, MYSTERY, THRILLER, NOIR, SUSPENSE, DRAMA, ROMANCE, BLACK COMEDY|littlewomen.png|NETFLIX, TVING
블라인드|옥택연, 하석진, 정은지 外|억울한 피해자가 된 평범한 시민들과 불편한 진실에 눈감은 가해자들의 이야기|2022|15|16부작|CRIME, MYSTERY, THRILLER, COURT, HUMAN|blind.png|TVING
금수저|육성재, 이종원, 정채연, 연우, 최원영 外|가난한 집에서 태어난 아이가 우연히 얻게 된 금수저를 통해 부잣집에서 태어난 친구와 운명을 바꿔 후천적 금수저가 된 인생 어드벤처 이야기|2022|15|16부작|FANTASY, ROMANCE, MELO, REVENGE, CRIME, MYSTERY, THRILLER, NOIR|goldspoon.png|WAVVE, DISNEYPLUS
술꾼도시여자들2|이선빈, 한선화, 정은지, 최시원 外|하루 끝의 술 한잔이 인생의 신념인 세 여자의 일상을 그린 본격 '기승전술' 드라마, 그 두 번째 이야기|2022|19|12부작|COMEDY, FRIENDSHIP, DRAMA|지우2.png|TVING
더 글로리|송혜교, 이도현, 임지연, 염혜란, 박성훈, 정성일, 김히어라, 차주영, 김건우 外|유년 시절 폭력으로 영혼까지 부서진 한 여자가 온 생을 걸어 치밀하게 준비한 처절한 복수와 그 소용돌이에 빠져드는 이들의 이야기|2022|19|16부작|CRIME, DRAMA, THRILLER, NOIR, MYSTERY, SUSPENSE, REVENGE, HUMAN|theglory.png|NETFLIX
마이 데몬|김유정, 송강, 이상이, 김해숙, 조혜주 外|‘악마 같은’ 재벌 상속녀 도도희와 한순간 능력을 잃어버린 ‘악마’ 구원이 계약 결혼을 하며 벌어지는 판타지 로맨틱 코미디|2023|15|16부작|ROMANCE, COMEDY, FANTASY, THRILLER, FAMILY|mydemon.png|NETFLIX, WAVVE, UPLUS
연인|남궁민, 안은진, 이청아, 이학주, 이다인 外|병자호란을 겪으며 엇갈리는 연인들의 사랑과 백성들의 생명력을 다룬 휴먼역사멜로 드라마|2023|15|21부작|HISTORICAL, ROMANCE, HUMAN, DRAMA|mydear.png|WAVVE
대행사|이보영, 손나은, 조성하, 한준우, 전혜진, 이창훈 外|VC그룹 최초로 여성 임원이 된 '고아인'이 최초를 넘어 최고의 위치까지 자신의 커리어를 만들어가는 모습을 그린 우아하게 처절한 광고대행사 오피스 드라마|2023|15|16부작|OFFICE, GROWTH, HUMAN, DRAMA|agency.png|NETFLIX, TVING
일타 스캔들|전도연, 정경호, 노윤서, 오의식, 이봉련 外|사교육 전쟁터에서 펼쳐지는 국가대표 반찬가게 열혈 사장과 대한민국 수학 일타 강사의 달콤 쌉싸름한 로맨스|2023|15|16부작|ROMANCE, ACADEMY, COMEDY|ccir.png|NETFLIX, TVING
나쁜엄마|라미란, 이도현, 안은진, 유인수 外|자식을 위해 악착같이 나쁜 엄마가 될 수 밖에 없었던 ‘영순’과 아이가 되어버린 아들 ‘강호’가 잃어버린 행복을 찾아가는 감동의 힐링 코미디|2023|15|14부작|FAMILY, HUMAN, REVENGE, ROMANCE, COMEDY|badmom.png|NETFLIX, TVING, UPLUS
어쩌다 마주친, 그대|김동욱, 진기주, 서지혜, 이원정 外|1987년에 갇혀버린 두 남녀의 이상하고 아름다운 시간 여행기|2023|15|16부작|FANTASY, ROMANCE, MYSTERY, THRILLER, NOIR, FAMILY|myperfectstranger.png|COUPANGPLAY, WAVVE
구미호뎐 1938|이동욱, 김소연, 김범, 류경수 外|1938년 혼돈의 시대에 불시착한 구미호가 현대로 돌아가기 위해 펼치는 K-판타지 액션 활극|2023|15|12부작|PERIOD, FANTASY, HORROR, ACTION, NOIR, COMEDY|ninetailfox1938.png|TVING
